Report Date,PFI,Facility Name,Hospital County,Hospital Region,NY Forward Region,Hospital Network,Total Employees,Partially Vaccinated,Fully Vaccinated,Staff Booster,Total Staff Furloughed,Direct Care Staff Furloughed,Direct Care Employees
03/07/2023,000895,John T Mather Memorial Hospital of Port Jefferson New York Inc,Suffolk,Metropolitan Area Regional Office,Long Island,Northwell Health,2096,6,2087,1572,0,0,1192
03/07/2023,000001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Capital Region,Albany Medical Center,11414,44,10939,1352,41,30,6360
03/07/2023,000005,St Peters Hospital,Albany,Capital District Regional Office,Capital Region,St. Peters Health Partners,4474,0,4457,2682,20,15,3765
03/07/2023,000042,United Health Services Hospitals Inc. - Binghamton General Hospital,Broome,Central New York Regional Office,Southern Tier,"United Health Services Hospitals, Inc.",1871,6,1864,1178,14,9,1041
03/07/2023,000085,Auburn Community Hospital,Cayuga,Central New York Regional Office,Central New York,Independent,1344,0,1333,1033,3,2,731
03/07/2023,000798,Claxton-Hepburn Medical Center,St. Lawrence,Central New York Regional Office,North Country,North Star Health Alliance,1001,0,1001,838,13,9,756
03/07/2023,000818,Saratoga Hospital,Saratoga,Capital District Regional Office,Capital Region,Albany Medical Center,3245,10,3227,2475,9,2,1987
03/07/2023,001692,Woodhull Medical and Mental Health Center,Kings,Metropolitan Area Regional Office,New York City,NYC H+H,3132,26,3106,2585,10,6,2280
03/07/2023,001437,New York-Presbyterian/Lower Manhattan Hospital,New York,Metropolitan Area Regional Office,New York City,New York-Presbyterian Healthcare System,1378,6,1314,1029,1,0,1042
03/07/2023,001439,Mount Sinai Beth Israel,New York,Metropolitan Area Regional Office,New York City,Mount Sinai Health System,5060,0,5051,3763,0,0,3091
03/07/2023,001454,Metropolitan Hospital Center,New York,Metropolitan Area Regional Office,New York City,NYC H+H,3131,55,2821,1301,4,3,2411
03/07/2023,001124,SJRH - Dobbs Ferry Pavillion,Westchester,Metropolitan Area Regional Office,Mid-Hudson,"Riverside Health Care System, Inc.",161,0,158,137,2,0,58
03/07/2023,001005,Glens Falls Hospital,Warren,Capital District Regional Office,Capital Region,Independent,2820,7,2804,2267,11,6,1840
03/07/2023,000873,Ira Davenport Memorial Hospital,Steuben,Western Regional Office,Southern Tier,Arnot Health,98,0,98,64,0,0,75
03/07/2023,000891,University Hospital - Stony Brook Eastern Long Island Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Stony Brook Medicine,511,0,511,437,4,1,373
03/07/2023,001301,Kings County Hospital Center,Kings,Metropolitan Area Regional Office,New York City,NYC H+H,6816,98,6543,1516,2,2,5401
03/07/2023,001046,Winifred Masterson Burke Rehabilitation Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Montefiore Healthcare System,1008,0,1004,885,0,0,677
03/07/2023,001129,Phelps Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Northwell Health,1511,1,1502,1202,1,2,855
03/07/2023,001153,Wyoming County Community Hospital,Wyoming,Western Regional Office,Finger Lakes,Independent,632,12,620,508,0,0,376
03/07/2023,001165,Jacobi Medical Center,Bronx,Metropolitan Area Regional Office,New York City,NYC H+H,6151,107,5648,1864,12,4,5035
03/07/2023,000727,Oswego Hospital,Oswego,Central New York Regional Office,Central New York,Independent,1033,1,1028,798,2,1,596
03/07/2023,001028,Newark-Wayne Community Hospital,Wayne,Western Regional Office,Finger Lakes,Rochester Regional Health System,783,0,783,560,0,0,661
03/07/2023,000589,"Rome Memorial Hospital, Inc",Oneida,Central New York Regional Office,Mohawk Valley,St. Josephs Hospital Syracuse NY,1362,9,1344,1238,1,1,824
03/07/2023,000630,St. Joseph's Hospital Health Center,Onondaga,Central New York Regional Office,Central New York,Trinity,3903,1,3891,2295,0,35,2860
03/07/2023,000678,F.F. Thompson Hospital,Ontario,Western Regional Office,Finger Lakes,University of Rochester Medical Center,1576,1,1572,1206,15,15,1576
03/07/2023,000704,St Anthony Community Hospital,Orange,Metropolitan Area Regional Office,Mid-Hudson,Westchester Medical Center Health Network,407,0,405,238,0,0,232
03/07/2023,000484,St. Mary's Healthcare,Montgomery,Capital District Regional Office,Mohawk Valley,Ascension Health,1537,5,1521,1054,6,4,1077
03/07/2023,000490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Long Island,Northwell Health,983,0,982,699,0,0,690
03/07/2023,000550,Syosset Hospital,Nassau,Metropolitan Area Regional Office,Long Island,Northwell Health,628,0,626,467,1,0,377
03/07/2023,000280,Bertrand Chaffee Hospital,Erie,Western Regional Office,Western New York,Independent,336,0,335,255,0,0,197
03/07/2023,000292,Sisters of Charity Hospital - St. Joseph Campus,Erie,Western Regional Office,Western New York,"Catholic Health, Buffalo",418,0,415,265,3,1,324
03/07/2023,000116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Southern Tier,Arnot Health,2295,12,2280,1547,13,11,1711
03/07/2023,000118,St. Joseph's Hospital,Chemung,Western Regional Office,Southern Tier,Arnot Health,178,2,175,104,0,0,139
03/07/2023,000180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Mid-Hudson,Westchester Medical Center Health Network,1399,0,1392,1081,1,1,979
03/07/2023,000776,Montefiore Nyack,Rockland,Metropolitan Area Regional Office,Mid-Hudson,Montefiore Healthcare System,1709,95,1614,362,0,0,1709
03/07/2023,000829,Ellis Hospital,Schenectady,Capital District Regional Office,Capital Region,Independent,2559,0,2542,1633,12,8,1663
03/07/2023,000866,Corning Hospital,Steuben,Western Regional Office,Southern Tier,The Guthrie Clinic,719,0,716,538,1,0,451
03/07/2023,000752,Putnam Hospital Center,Putnam,Metropolitan Area Regional Office,Mid-Hudson,Nuvance Health,1087,0,1083,660,4,4,911
03/07/2023,000971,Catskill Regional Medical Center,Sullivan,Metropolitan Area Regional Office,Mid-Hudson,Garnet Health -formerly Greater Hudson Valley Health System,574,0,574,402,2,1,459
03/07/2023,000989,HealthAlliance Hospital Broadway Campus,Ulster,Metropolitan Area Regional Office,Mid-Hudson,Westchester Medical Center Health Network,1029,0,1021,844,5,5,720
03/07/2023,000581,Degraff Memorial Hospital,Niagara,Western Regional Office,Western New York,Kaleida Health,126,0,125,80,0,0,57
03/07/2023,000397,Oneida Health Hospital,Madison,Central New York Regional Office,Central New York,Independent,564,0,564,447,3,3,480
03/07/2023,000409,Highland Hospital,Monroe,Western Regional Office,Finger Lakes,University of Rochester Medical Center,3209,4,3192,2294,18,13,2063
03/07/2023,000541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Long Island,Northwell Health,6138,5,6112,4388,4,3,4404
03/07/2023,000379,Carthage Area Hospital Inc,Jefferson,Central New York Regional Office,North Country,Independent,511,0,509,499,3,0,401
03/07/2023,000383,Lewis County General Hospital,Lewis,Central New York Regional Office,North Country,Independent,542,0,540,439,0,0,343
03/07/2023,000158,Guthrie Cortland Medical Center,Cortland,Central New York Regional Office,Central New York,The Guthrie Clinic,628,3,617,512,3,0,422
03/07/2023,000170,Margaretville Hospital,Delaware,Capital District Regional Office,Southern Tier,Westchester Medical Center Health Network,103,0,103,40,0,0,67
03/07/2023,000213,Mercy Hospital of Buffalo,Erie,Western Regional Office,Western New York,"Catholic Health, Buffalo",2628,4,2601,1356,16,15,2117
03/07/2023,000103,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Western New York,UPMC,863,10,840,583,10,4,608
03/07/2023,000858,Schuyler Hospital,Schuyler,Western Regional Office,Southern Tier,Cayuga Health System,299,1,293,213,1,0,153
03/07/2023,000870,St. James Hospital,Steuben,Western Regional Office,Southern Tier,University of Rochester Medical Center,356,7,349,114,0,0,356
03/07/2023,000885,Long Island Community Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Independent,2261,0,2250,1689,0,0,1561
03/07/2023,000889,University Hospital - Stony Brook Southampton Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Stony Brook Medicine,1265,0,1265,1009,5,5,1265
03/07/2023,000913,Huntington Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Northwell Health,1828,0,1825,1325,1,0,1247
03/07/2023,003058,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Bronx,Metropolitan Area Regional Office,New York City,Montefiore Healthcare System,5968,4,5953,4792,9,7,3546
03/07/2023,001450,Lenox Hill Hospital,New York,Metropolitan Area Regional Office,New York City,Northwell Health,4026,7,4001,2977,4,1,2598
03/07/2023,001453,Memorial Hospital for Cancer and Allied Diseases,New York,Metropolitan Area Regional Office,New York City,Independent,21259,5,21233,20405,16,12,8653
03/07/2023,001628,Flushing Hospital Medical Center,Queens,Metropolitan Area Regional Office,New York City,MediSys Health Network,1824,3,1820,1403,1,1,1063
03/07/2023,001176,SBH Health System,Bronx,Metropolitan Area Regional Office,New York City,Independent,3269,0,3269,1811,2,2,2716
03/07/2023,001172,Lincoln Medical and Mental Health Center,Bronx,Metropolitan Area Regional Office,New York City,NYC H+H,4907,83,4468,1457,7,3,3617
03/07/2023,000718,Medina Memorial Hospital,Orleans,Western Regional Office,Finger Lakes,Independent,214,1,210,149,0,0,102
03/07/2023,000739,A.O. Fox Memorial Hospital,Otsego,Capital District Regional Office,Mohawk Valley,Bassett Healthcare Network,564,0,564,429,0,0,387
03/07/2023,001002,Ellenville Regional Hospital,Ulster,Metropolitan Area Regional Office,Mid-Hudson,Independent,336,0,335,178,0,0,218
03/07/2023,001039,NewYork-Presbyterian/Hudson Valley Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,New York-Presbyterian Healthcare System,1512,6,1443,1148,2,1,1035
03/07/2023,000583,Mount St Marys Hospital and Health Center,Niagara,Western Regional Office,Western New York,"Catholic Health, Buffalo",866,1,856,496,8,6,596
03/07/2023,000676,Clifton Springs Hospital and Clinic,Ontario,Western Regional Office,Finger Lakes,Rochester Regional Health System,655,0,653,457,0,0,527
03/07/2023,000511,NYU Winthrop Hospital,Nassau,Metropolitan Area Regional Office,Long Island,NYU Langone Health,9965,18,9925,8058,10,7,6487
03/07/2023,000325,The University of Vermont Health Network - Alice Hyde Medical Center,Franklin,Capital District Regional Office,North Country,University of Vermont Health Network,1217,2,1211,717,0,0,473
03/07/2023,000330,Nathan Littauer Hospital,Fulton,Capital District Regional Office,Mohawk Valley,Independent,1095,1,1082,562,5,4,706
03/07/2023,000210,Erie County Medical Center,Erie,Western Regional Office,Western New York,Independent,3527,2,3523,2463,10,9,2352
03/07/2023,000924,Southside Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Northwell Health,2615,3,2602,1727,2,1,1730
03/07/2023,000043,Our Lady of Lourdes Memorial Hospital Inc,Broome,Central New York Regional Office,Southern Tier,Ascension Health,3242,9,3219,2142,29,19,2578
03/07/2023,000812,Gouverneur Hospital,St. Lawrence,Central New York Regional Office,North Country,St. Lawrence Health System,182,0,182,136,0,0,131
03/07/2023,000815,Canton-Potsdam Hospital,St. Lawrence,Central New York Regional Office,North Country,St. Lawrence Health System,1258,0,1254,1031,0,0,883
03/07/2023,001637,NewYork-Presbyterian/Queens,Queens,Metropolitan Area Regional Office,New York City,New York-Presbyterian Healthcare System,5164,31,4994,3626,4,2,3862
03/07/2023,001638,Long Island Jewish Forest Hills,Queens,Metropolitan Area Regional Office,New York City,Northwell Health,1426,0,1417,962,1,1,923
02/28/2023,000746,Mary Imogene Bassett Hospital,Otsego,Capital District Regional Office,Mohawk Valley,Bassett Healthcare Network,3199,7,3186,2546,8,6,2718
02/28/2023,001638,Long Island Jewish Forest Hills,Queens,Metropolitan Area Regional Office,New York City,Northwell Health,1426,0,1417,962,2,2,923
02/28/2023,001692,Woodhull Medical and Mental Health Center,Kings,Metropolitan Area Regional Office,New York City,NYC H+H,3132,26,3106,2585,10,6,2280
02/28/2023,001738,Richmond University Medical Center,Richmond,Metropolitan Area Regional Office,New York City,Independent,2777,4,2772,1748,0,0,2029
02/28/2023,001318,Wyckoff Heights Medical Center,Kings,Metropolitan Area Regional Office,New York City,Independent,1893,5,1888,958,10,5,1107
02/28/2023,001445,Harlem Hospital Center,New York,Metropolitan Area Regional Office,New York City,NYC H+H,3332,70,3198,1270,0,9,2570
02/28/2023,001453,Memorial Hospital for Cancer and Allied Diseases,New York,Metropolitan Area Regional Office,New York City,Independent,21321,5,21295,20420,19,11,8675
02/28/2023,001454,Metropolitan Hospital Center,New York,Metropolitan Area Regional Office,New York City,NYC H+H,3126,53,2821,1303,2,2,2411
02/28/2023,001464,New York-Presbyterian Hospital - Columbia Presbyterian Center,New York,Metropolitan Area Regional Office,New York City,New York-Presbyterian Healthcare System,14235,42,13532,10656,37,31,10964
02/28/2023,001288,Brooklyn Hospital Center - Downtown Campus,Kings,Metropolitan Area Regional Office,New York City,Independent,2763,1,2760,1407,2,1,1740
02/28/2023,001304,NYU Langone Hospital-Brooklyn,Kings,Metropolitan Area Regional Office,New York City,NYU Langone Health,4035,5,4024,3121,11,8,2899
02/28/2023,001306,NewYork-Presbyterian Brooklyn Methodist Hospital,Kings,Metropolitan Area Regional Office,New York City,New York-Presbyterian Healthcare System,5014,26,4844,3508,15,11,3704
02/28/2023,001061,Montefiore Mount Vernon Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Montefiore Healthcare System,497,0,484,348,0,0,352
02/28/2023,001072,Montefiore New Rochelle Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Montefiore Healthcare System,1044,0,1029,808,2,0,672
02/28/2023,001129,Phelps Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Northwell Health,1511,1,1502,1202,1,2,855
02/28/2023,001138,Blythedale Childrens Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Independent,785,0,785,684,0,0,461
02/28/2023,000704,St Anthony Community Hospital,Orange,Metropolitan Area Regional Office,Mid-Hudson,Westchester Medical Center Health Network,407,0,405,238,0,0,232
02/28/2023,000752,Putnam Hospital Center,Putnam,Metropolitan Area Regional Office,Mid-Hudson,Nuvance Health,1087,0,1083,660,4,4,911
02/28/2023,000756,Samaritan Hospital,Rensselaer,Capital District Regional Office,Capital Region,St. Peters Health Partners,3039,0,3026,1795,10,8,2120
02/28/2023,000943,St Catherine of Siena Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Catholic Health Services of Long Island,1522,0,1510,846,3,1,988
02/28/2023,001045,White Plains Hospital Center,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Montefiore Healthcare System,5144,0,5142,3547,14,6,3293
02/28/2023,000599,Faxton-St Lukes Healthcare St Lukes Division,Oneida,Central New York Regional Office,Mohawk Valley,Mohawk Valley Health System,2052,73,1947,1308,1,0,1340
02/28/2023,001185,Montefiore Medical Center - Montefiore Westchester Square,Bronx,Metropolitan Area Regional Office,New York City,Montefiore Healthcare System,995,1,993,797,1,1,591
02/28/2023,001039,NewYork-Presbyterian/Hudson Valley Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,New York-Presbyterian Healthcare System,1504,6,1440,1148,4,3,1029
02/28/2023,000676,Clifton Springs Hospital and Clinic,Ontario,Western Regional Office,Finger Lakes,Rochester Regional Health System,641,0,639,449,0,0,514
02/28/2023,000482,St. Mary's Healthcare - Amsterdam Memorial Campus,Montgomery,Capital District Regional Office,Mohawk Valley,Ascension Health,344,1,343,248,0,1,263
02/28/2023,000484,St. Mary's Healthcare,Montgomery,Capital District Regional Office,Mohawk Valley,Ascension Health,1537,5,1521,1054,2,2,1077
02/28/2023,000518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Long Island,Northwell Health,1164,0,1162,798,1,0,662
02/28/2023,000527,Mount Sinai South Nassau,Nassau,Metropolitan Area Regional Office,Long Island,Mount Sinai Health System,5154,3,5151,2499,5,5,3933
02/28/2023,000324,Adirondack Medical Center-Saranac Lake Site,Franklin,Capital District Regional Office,North Country,Independent,911,0,908,859,13,10,621
02/28/2023,000330,Nathan Littauer Hospital,Fulton,Capital District Regional Office,Mohawk Valley,Independent,1095,1,1082,562,5,4,706
02/28/2023,000379,Carthage Area Hospital Inc,Jefferson,Central New York Regional Office,North Country,Independent,511,0,509,499,3,0,401
02/28/2023,000409,Highland Hospital,Monroe,Western Regional Office,Finger Lakes,University of Rochester Medical Center,3203,4,3186,2286,20,12,2059
02/28/2023,000411,Rochester General Hospital,Monroe,Western Regional Office,Finger Lakes,Rochester Regional Health System,8950,0,8929,6559,0,0,5646
02/28/2023,000118,St. Joseph's Hospital,Chemung,Western Regional Office,Southern Tier,Arnot Health,177,2,174,105,3,3,138
02/28/2023,000245,University Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Stony Brook Medicine,10586,74,10194,7206,21,15,5856
02/28/2023,000938,Peconic Bay Medical Center,Suffolk,Metropolitan Area Regional Office,Long Island,Northwell Health,1142,2,1138,892,1,1,676
02/28/2023,000005,St Peters Hospital,Albany,Capital District Regional Office,Capital Region,St. Peters Health Partners,4472,0,4455,2655,22,17,3751
02/28/2023,000039,Memorial Hosp of Wm F and Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Western New York,University of Rochester Medical Center,473,0,473,350,0,0,375
02/28/2023,000589,"Rome Memorial Hospital, Inc",Oneida,Central New York Regional Office,Mohawk Valley,St. Josephs Hospital Syracuse NY,1358,10,1339,1225,5,3,822
02/28/2023,000383,Lewis County General Hospital,Lewis,Central New York Regional Office,North Country,Independent,539,0,537,438,0,0,341
02/28/2023,000213,Mercy Hospital of Buffalo,Erie,Western Regional Office,Western New York,"Catholic Health, Buffalo",2620,4,2593,1356,13,10,2113
02/28/2023,000339,United Memorial Medical Center North Street Campus,Genesee,Western Regional Office,Finger Lakes,Rochester Regional Health System,780,0,778,531,0,0,556
02/28/2023,000135,The University of Vermont Health Network - Champlain Valley Physicians Hospital,Clinton,Capital District Regional Office,North Country,University of Vermont Health Network,2055,2,2043,1692,35,35,1754
02/28/2023,000174,Delaware Valley Hospital Inc,Delaware,Capital District Regional Office,Southern Tier,"United Health Services Hospitals, Inc.",254,0,253,168,1,1,149
02/28/2023,000207,Buffalo General Medical Center,Erie,Western Regional Office,Western New York,Kaleida Health,3740,26,3701,1732,0,0,1591
02/28/2023,000829,Ellis Hospital,Schenectady,Capital District Regional Office,Capital Region,Independent,2547,0,2530,1624,13,8,1654
02/28/2023,000037,Cuba Memorial Hospital Inc,Allegany,Western Regional Office,Western New York,Independent,54,0,52,50,0,0,49
02/28/2023,000779,Good Samaritan Hospital of Suffern,Rockland,Metropolitan Area Regional Office,Mid-Hudson,Westchester Medical Center Health Network,2234,0,2230,996,0,1,1240
02/28/2023,000815,Canton-Potsdam Hospital,St. Lawrence,Central New York Regional Office,North Country,St. Lawrence Health System,1265,0,1265,1038,0,0,881
02/28/2023,001450,Lenox Hill Hospital,New York,Metropolitan Area Regional Office,New York City,Northwell Health,4010,9,3981,2962,3,3,2587
02/28/2023,001294,Coney Island Hospital,Kings,Metropolitan Area Regional Office,New York City,NYC H+H,3487,86,3277,803,3,3,2648
02/28/2023,001305,Maimonides Medical Center,Kings,Metropolitan Area Regional Office,New York City,Independent,6775,4,6763,4925,12,9,4400
02/28/2023,001097,SJRH - St Johns Division,Westchester,Metropolitan Area Regional Office,Mid-Hudson,"Riverside Health Care System, Inc.",1459,0,1447,1197,8,4,710
02/28/2023,001098,St. Joseph's Medical Center,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Independent,976,0,969,705,1,0,655
02/28/2023,001637,NewYork-Presbyterian/Queens,Queens,Metropolitan Area Regional Office,New York City,New York-Presbyterian Healthcare System,5153,28,4993,3627,12,7,3852
02/28/2023,001324,Mount Sinai Brooklyn,Kings,Metropolitan Area Regional Office,New York City,Mount Sinai Health System,1043,0,1042,711,0,0,860
02/28/2023,001458,New York-Presbyterian Hospital - New York Weill Cornell Center,New York,Metropolitan Area Regional Office,New York City,New York-Presbyterian Healthcare System,15694,63,15328,13148,29,21,9653
02/28/2023,001463,NYU Langone Hospitals,New York,Metropolitan Area Regional Office,New York City,NYU Langone Health,16527,20,16456,14158,15,9,12141
02/28/2023,001028,Newark-Wayne Community Hospital,Wayne,Western Regional Office,Finger Lakes,Rochester Regional Health System,787,0,787,561,0,0,661
02/28/2023,001046,Winifred Masterson Burke Rehabilitation Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Montefiore Healthcare System,1008,0,1004,885,0,0,677
02/28/2023,001117,Northern Westchester Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Northwell Health,1525,2,1519,1268,6,4,862
02/28/2023,001122,New York-Presbyterian Lawrence Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,New York-Presbyterian Healthcare System,2075,7,2020,1547,9,7,1505
02/28/2023,001158,Soldiers and Sailors Memorial Hospital of Yates County Inc,Yates,Western Regional Office,Finger Lakes,Finger Lakes Health,221,0,221,210,0,0,213
02/28/2023,001165,Jacobi Medical Center,Bronx,Metropolitan Area Regional Office,New York City,NYC H+H,6150,105,5639,1865,3,1,5028
02/28/2023,000913,Huntington Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Northwell Health,1828,0,1825,1325,2,0,1247
02/28/2023,010216,Cobleskill Regional Hospital,Schoharie,Capital District Regional Office,Mohawk Valley,Bassett Healthcare Network,243,0,243,202,2,2,135
02/28/2023,000798,Claxton-Hepburn Medical Center,St. Lawrence,Central New York Regional Office,North Country,North Star Health Alliance,997,0,997,836,6,5,756
02/28/2023,000873,Ira Davenport Memorial Hospital,Steuben,Western Regional Office,Southern Tier,Arnot Health,98,0,98,64,0,0,75
02/28/2023,000885,Long Island Community Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Independent,2247,0,2236,1683,0,0,1565
02/28/2023,001630,Long Island Jewish Medical Center,Queens,Metropolitan Area Regional Office,New York City,Northwell Health,8581,14,8521,6358,6,5,5828
02/28/2023,001633,Queens Hospital Center,Queens,Metropolitan Area Regional Office,New York City,NYC H+H,3170,48,3035,629,2,1,2402
02/28/2023,001439,Mount Sinai Beth Israel,New York,Metropolitan Area Regional Office,New York City,Mount Sinai Health System,5084,1,5074,3780,2,2,3100
02/28/2023,001628,Flushing Hospital Medical Center,Queens,Metropolitan Area Regional Office,New York City,MediSys Health Network,1823,1,1821,1408,4,3,1059
02/28/2023,003058,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Bronx,Metropolitan Area Regional Office,New York City,Montefiore Healthcare System,5970,3,5956,4783,8,7,3548
02/28/2023,003067,Millard Fillmore Suburban Hospital,Erie,Western Regional Office,Western New York,Kaleida Health,2259,24,2223,1154,16,0,1093
02/28/2023,003975,New York-Presbyterian Hospital - Allen Hospital,New York,Metropolitan Area Regional Office,New York City,New York-Presbyterian Healthcare System,1162,5,1123,842,5,3,851
02/28/2023,009691,South Nassau Communities Hospital Off-Campus Emergency Department,Nassau,Metropolitan Area Regional Office,Long Island,Mount Sinai Health System,21,0,21,15,0,0,21
02/28/2023,001438,Bellevue Hospital Center,New York,Metropolitan Area Regional Office,New York City,NYC H+H,10173,47,10087,2151,3,3,8350
02/28/2023,001168,Montefiore Medical Center-Wakefield Hospital,Bronx,Metropolitan Area Regional Office,New York City,Montefiore Healthcare System,2984,2,2978,2391,4,3,1775
02/28/2023,000989,HealthAlliance Hospital Broadway Campus,Ulster,Metropolitan Area Regional Office,Mid-Hudson,Westchester Medical Center Health Network,1029,0,1021,844,26,15,720
02/28/2023,000694,St Luke's Cornwall Hospital/Newburgh,Orange,Metropolitan Area Regional Office,Mid-Hudson,Montefiore Healthcare System,1756,0,1746,1256,14,11,1401
02/28/2023,000699,Orange Regional Medical Center,Orange,Metropolitan Area Regional Office,Mid-Hudson,Garnet Health -formerly Greater Hudson Valley Health System,3549,0,3548,2688,24,20,2839
02/28/2023,000775,Helen Hayes Hospital,Rockland,Metropolitan Area Regional Office,Mid-Hudson,New York-Presbyterian Healthcare System,766,1,761,630,0,0,484
02/28/2023,000971,Catskill Regional Medical Center,Sullivan,Metropolitan Area Regional Office,Mid-Hudson,Garnet Health -formerly Greater Hudson Valley Health System,574,0,574,402,2,1,459
02/28/2023,000598,St Elizabeth Medical Center,Oneida,Central New York Regional Office,Mohawk Valley,Mohawk Valley Health System,1424,61,1332,610,1,0,916
02/28/2023,000636,Crouse Hospital,Onondaga,Central New York Regional Office,Central New York,Crouse Health,2756,4,2750,2298,22,18,1837
02/28/2023,000671,Geneva General Hospital,Ontario,Western Regional Office,Finger Lakes,Finger Lakes Health,692,0,692,586,0,0,602
02/28/2023,000490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Long Island,Northwell Health,983,0,982,699,0,0,690
02/28/2023,000513,Mercy Medical Center,Nassau,Metropolitan Area Regional Office,Long Island,Catholic Health Services of Long Island,1812,1,1792,999,7,1,762
02/28/2023,001178,BronxCare Hospital Center,Bronx,Metropolitan Area Regional Office,New York City,Independent,4620,2,4609,3684,10,6,2747
02/28/2023,001293,"New York Community Hospital of Brooklyn, Inc",Kings,Metropolitan Area Regional Office,New York City,Independent,735,0,712,144,0,0,450
02/28/2023,000977,Cayuga Medical Center at Ithaca,Tompkins,Central New York Regional Office,Southern Tier,Cayuga Health System,1743,1,1711,1479,19,17,1062
02/28/2023,000678,F.F. Thompson Hospital,Ontario,Western Regional Office,Finger Lakes,University of Rochester Medical Center,1572,1,1568,1205,10,10,1572
02/28/2023,000727,Oswego Hospital,Oswego,Central New York Regional Office,Central New York,Independent,1033,1,1028,798,2,1,596
02/28/2023,000541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Long Island,Northwell Health,6138,8,6107,4386,7,6,4404
02/28/2023,000565,Eastern Niagara Hospital - Lockport Division,Niagara,Western Regional Office,Western New York,Independent,340,0,340,277,0,0,145
02/28/2023,000574,Niagara Falls Memorial Medical Center,Niagara,Western Regional Office,Western New York,Independent,1098,0,1096,849,2,2,730
02/28/2023,000635,University Hospital SUNY Health Science Center,Onondaga,Central New York Regional Office,Central New York,Independent,8893,0,8885,7299,48,25,7731
02/28/2023,000340,United Memorial Medical Center Bank Street Campus,Genesee,Western Regional Office,Finger Lakes,Rochester Regional Health System,88,0,88,59,0,0,73
02/28/2023,000393,Nicholas H. Noyes Memorial Hospital,Livingston,Western Regional Office,Finger Lakes,University of Rochester Medical Center,509,0,509,393,0,0,509
02/28/2023,000397,Oneida Health Hospital,Madison,Central New York Regional Office,Central New York,Independent,564,0,564,447,3,3,480
02/28/2023,000181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Mid-Hudson,Nuvance Health,2560,0,2547,1856,14,18,2052
02/28/2023,000066,Olean General Hospital,Cattaraugus,Western Regional Office,Western New York,Kaleida Health,1145,15,1110,489,2,2,1015
02/28/2023,000889,University Hospital - Stony Brook Southampton Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Stony Brook Medicine,1335,0,1335,1010,8,8,1335
02/28/2023,000001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Capital Region,Albany Medical Center,11353,42,10839,1357,34,23,6366
02/28/2023,000776,Montefiore Nyack,Rockland,Metropolitan Area Regional Office,Mid-Hudson,Montefiore Healthcare System,1709,95,1614,362,0,0,1709
02/28/2023,000818,Saratoga Hospital,Saratoga,Capital District Regional Office,Capital Region,Albany Medical Center,3245,9,3228,2480,5,2,1990
02/28/2023,000401,Community Memorial Hospital Inc,Madison,Central New York Regional Office,Central New York,Crouse Health,540,0,518,379,1,0,453
02/28/2023,000412,The Unity Hospital of Rochester - St. Mary's Campus,Monroe,Western Regional Office,Finger Lakes,Rochester Regional Health System,47,0,47,29,0,0,47
02/28/2023,000550,Syosset Hospital,Nassau,Metropolitan Area Regional Office,Long Island,Northwell Health,628,0,626,467,0,0,377
